volcano name,last eruption year,country,latitude,longitude,elevation
Hanish,Unknown,Yemen,13.72,42.73,422
Hargy,950,Papua New Guinea,-5.33,151.1,1148
Harrat Ash Shamah,1850,Syria-Jordan-Saudi Arabia,32.333,37.583,1100
Harunasan,550,Japan,36.477,138.851,1449
Hasan Dagi,Unknown,Turkey,38.13,34.17,3253
Haut Dong Nai,Unknown,Vietnam,11.6,108.2,1000
"Haylan, Jabal",-1200,Yemen,15.4,45.1,1550
Healy,1360,New Zealand,-35.004,178.973,-980
Heard,2020,Australia,-53.106,73.513,2745
Hekla,2000,Iceland,63.983,-19.666,1490
Helgrindur,Unknown,Iceland,64.866,-23.283,986
Hell's Half Acre,-3250,United States,43.5,-112.45,1631
Hengill,150,Iceland,64.083,-21.416,803
Hierro,2012,Spain,27.73,-18.03,1500
Hiuchigatake,1544,Japan,36.955,139.285,2356
Hodson,Unknown,United Kingdom,-56.712,-27.176,835
Hofsjokull,Unknown,Iceland,64.833,-18.766,1765
Hokkaido-Komagatake,2000,Japan,42.063,140.677,1131
Homa Mountain,Unknown,Kenya,-0.38,34.5,1751
Hood,1866,United States,45.374,-121.695,3426
Hoodoo Mountain,-7050,Canada,56.78,-131.28,1850
Hromundartindur,Unknown,Iceland,64.083,-21.333,550
Hualalai,1801,United States,19.692,-155.87,2523
Huambo,-700,Peru,-15.83,-72.13,4550
Huanquihue Group,1750,Argentina,-39.887,-71.58,2189
Huaynaputina,1600,Peru,-16.608,-70.85,4850
Hudson Mountains,-210,Antarctica,-74.33,-99.42,749
"Hudson, Cerro",2011,Chile,-45.9,-72.97,1905
Huequi,1920,Chile,-42.377,-72.578,1318
Hulubelu,Unknown,Indonesia,-5.334,104.59,849
Hululais,Unknown,Indonesia,-3.247,102.239,2122
"Humeros, Los",-4470,Mexico,19.68,-97.45,3150
Iamalele,Unknown,Papua New Guinea,-9.52,150.53,200
Ibu,2020,Indonesia,1.488,127.63,1325
Iettunup,Unknown,Russia,58.4,161.08,1340
Igwisi Hills,-10450,Tanzania,-4.889,31.933,1146
Ijen,1999,Indonesia,-8.058,114.242,2769
Iktunup,Unknown,Russia,58.08,160.77,2300
Iliamna,1876,United States,60.032,-153.09,3053
Iliboleng,1993,Indonesia,-8.342,123.258,1659
Ililabalekan,Unknown,Indonesia,-8.55,123.38,1018
Ilimuda,Unknown,Indonesia,-8.479,122.761,881
Iliwerung,2013,Indonesia,-8.53,123.57,1018
Illiniza,Unknown,Ecuador,-0.659,-78.714,5248
Ilopango,1880,El Salvador,13.672,-89.053,450
Imbabura,-5550,Ecuador,0.258,-78.183,4609
Imuruk Lake,300,United States,65.517,-163.45,610
Indian Heaven,-6250,United States,45.93,-121.82,1806
Infiernillo,-6890,Argentina,-35.123,-69.9,3007
Inielika,2001,Indonesia,-8.73,120.98,1559
Inierie,-8050,Indonesia,-8.875,120.95,2245
Ioto,2012,Japan,24.751,141.289,169
Io-Torishima,1968,Japan,27.881,128.223,212
Ipala,Unknown,Guatemala,14.55,-89.63,1650
Irazu,1994,Costa Rica,9.979,-83.852,3432
"Isabel, Isla",Unknown,Mexico,21.848,-105.886,95
Isarog,-3500,Philippines,13.658,123.38,1966
Ischia,1302,Italy,40.73,13.897,789
Iskut-Unuk River Cones,1800,Canada,56.58,-130.55,1880
Itasy Volcanic Field,-6050,Madagascar,-19.033,46.7,1800
"Ithnayn, Harrat",Unknown,Saudi Arabia,26.58,40.2,1625
Iwakisan,1863,Japan,40.656,140.303,1625
Iwatesan,1919,Japan,39.853,141.001,2038
Ixtepeque,Unknown,Guatemala,14.42,-89.68,1292
Iya,1969,Indonesia,-8.891,121.641,618
Iyang-Argapura,Unknown,Indonesia,-7.97,113.57,3088
Iztaccihuatl,Unknown,Mexico,19.179,-98.642,5230
Izu-Oshima,1990,Japan,34.724,139.394,758
Izu-Tobu,1989,Japan,34.9,139.098,1406
Izu-Torishima,2002,Japan,30.484,140.303,394
Jailolo,Unknown,Indonesia,1.08,127.439,993
James Ross Island,Unknown,Antarctica,-64.15,-57.75,1630
Jan Mayen,1985,Norway,71.082,-8.155,2197
Jatun Mundo Quri Warani,Unknown,Bolivia,-19.78,-66.48,5438
"Jayu Khota, Laguna",Unknown,Bolivia,-19.463,-67.432,3650
Jefferson,950,United States,44.674,-121.8,3199
Jingbo,-520,China,44.08,128.83,1000
Jom-Bolok,-5180,Russia,52.713,99.021,2047
Jordan Craters,-1250,United States,43.147,-117.46,1473
Kaba,2000,Indonesia,-3.522,102.615,1940
Kaikata Seamount,Unknown,Japan,26.667,140.929,-165
Kaikohe-Bay of Islands,400,New Zealand,-35.3,173.9,388
Kaitoku Seamount,1984,Japan,26.127,141.102,-95
Kanaga,2012,United States,51.923,-177.168,1307
Kanlaon,2017,Philippines,10.412,123.132,2435
Karang,Unknown,Indonesia,-6.268,106.05,1768
Karapinar Field,Unknown,Turkey,37.667,33.6,1302
Karisimbi,-8050,DR Congo-Rwanda,-1.506,29.45,4490
Karkar,2014,Papua New Guinea,-4.649,145.964,1839
Karthala,2007,Comoros,-11.75,43.38,2361
Karymsky,2019,Russia,54.049,159.443,1513
Katla,1918,Iceland,63.633,-19.083,1490
Katmai,1912,United States,58.28,-154.963,2047
Katwe-Kikorongo,Unknown,Uganda,-0.08,29.92,1067
Kazbek,-750,Georgia,42.7,44.5,5050
Kebeney,Unknown,Russia,57.1,159.93,1527
Kekurny,Unknown,Russia,56.4,158.85,1377
Kelimutu,1968,Indonesia,-8.77,121.82,1639
Kell,Unknown,Russia,51.65,157.35,900
Keluo Group,Unknown,China,49.37,125.92,670
Kelut,2014,Indonesia,-7.93,112.308,1731
Kendang,Unknown,Indonesia,-7.245,107.709,2594
Kerguelen Islands,Unknown,France,-49.58,69.5,1840
Kerinci,2020,Indonesia,-1.697,101.264,3800
Ketoi,1960,Russia,47.35,152.475,1172
Khanuy Gol,Unknown,Mongolia,48.67,102.75,1886
Kharimkotan,1933,Russia,49.12,154.508,1145
"Khaybar, Harrat",650,Saudi Arabia,25,39.92,2093
Khodutka,-300,Russia,52.062,157.711,2039
Kick 'em Jenny,2017,Grenada,12.3,-61.64,-185
Kikai,2020,Japan,30.793,130.305,704
Kikhpinych,1550,Russia,54.489,160.251,1506
Kilauea,2018,United States,19.421,-155.287,1222
Kirishimayama,2018,Japan,31.934,130.862,1700
"Kishb, Harrat",Unknown,Saudi Arabia,22.8,41.38,1475
Kita-Bayonnaise,Unknown,Japan,32.1,139.85,-360
Kita-Ioto,1945,Japan,25.424,141.284,792
Klabat,Unknown,Indonesia,1.454,125.031,1968
Klyuchevskoy,2020,Russia,56.056,160.642,4754
Kolokol Group,1973,Russia,46.042,150.083,1328
Kone,1820,Ethiopia,8.788,39.701,1380
Korath Range,Unknown,Ethiopia,5.1,35.88,912
Korosi,Unknown,Kenya,0.77,36.12,1446
Korovin,2007,United States,52.381,-174.166,1518
Koshelev,1690,Russia,51.356,156.753,1822
Kostakan,1350,Russia,53.83,158.05,1150
"Koussi, Emi",Unknown,Chad,19.8,18.53,3415
Kozushima,838,Japan,34.219,139.153,572
Krafla,1984,Iceland,65.715,-16.728,800
Krakatau,2020,Indonesia,-6.102,105.423,155
Krasheninnikov,1550,Russia,54.596,160.27,1816
Krummel-Garbuna-Welcker,2008,Papua New Guinea,-5.416,150.027,564
Krysuvik,1340,Iceland,63.883,-22.083,360
Ksudach,1907,Russia,51.844,157.572,1079
Kuchinoerabujima,2020,Japan,30.443,130.217,657
Kuchinoshima,1190,Japan,29.968,129.926,628
Kujusan,1996,Japan,33.086,131.249,1791
Kula,Unknown,Turkey,38.58,28.52,750
Kunlun Volcanic Group,1951,China,35.52,80.2,5808
Kurikomayama,1950,Japan,38.961,140.788,1627
Kurile Lake,-6440,Russia,51.45,157.12,81
Kusatsu-Shiranesan,2018,Japan,36.618,138.528,2165
Kussharo,1320,Japan,43.615,144.427,574
Kuttara,1820,Japan,42.491,141.16,549
Kutum Volcanic Field,Unknown,Sudan,14.57,25.85,1779
Kuwae,1974,Vanuatu,-16.829,168.536,-2
Kverkfjoll,1968,Iceland,64.653,-16.647,1930
Kyejo,1800,Tanzania,-9.229,33.792,2176
La Palma,1971,Spain,28.57,-17.83,2426
Laguna Caldera,Unknown,Philippines,14.42,121.27,743
"Lajas, Las",Unknown,Nicaragua,12.3,-85.73,926
Lamongan,1898,Indonesia,-7.981,113.341,1641
Langila,2018,Papua New Guinea,-5.525,148.42,1330
Langjokull,950,Iceland,64.85,-19.7,1100
Lanin,560,Chile-Argentina,-39.637,-71.502,3776
Lanzarote,1824,Spain,29.03,-13.63,670
Lascar,2017,Chile,-23.37,-67.73,5592
Lassen Volcanic Center,1917,United States,40.492,-121.508,3187
Lawu,1885,Indonesia,-7.625,111.192,3265
"Lengai, Ol Doinyo",2020,Tanzania,-2.764,35.914,2962
Leonard Range,120,Philippines,7.382,126.047,1080
Leroboleng,2003,Indonesia,-8.365,122.833,1095
Leutongey,Unknown,Russia,57.306,159.827,1318
Level Mountain,Unknown,Canada,58.42,-131.35,2190
Lewotobi,2003,Indonesia,-8.542,122.775,1703
Liamuiga,160,Saint Kitts and Nevis,17.37,-62.8,1156
Licancabur,Unknown,Chile-Bolivia,-22.83,-67.88,5916
Licto,Unknown,Ecuador,-1.78,-78.613,3336
Lihir,Unknown,Papua New Guinea,-3.125,152.642,700
Lipari,1230,Italy,38.49,14.933,590
Ljosufjoll,960,Iceland,64.9,-22.483,1063
Llaima,2009,Chile,-38.692,-71.729,3125
Lokon-Empung,2015,Indonesia,1.358,124.792,1580
Lolo,Unknown,Papua New Guinea,-5.466,150.509,796
Lolobau,1912,Papua New Guinea,-4.92,151.158,858
Loloru,-1050,Papua New Guinea,-6.52,155.62,1887
Long Island,1993,Papua New Guinea,-5.358,147.12,1280
Longgang Group,350,China,42.33,126.5,1000
Lonquimay,1990,Chile,-38.379,-71.586,2832
Lubukraya,Unknown,Indonesia,1.478,99.209,1862
"Lunayyir, Harrat",1000,Saudi Arabia,25.17,37.75,1370
Ly Son Group,Unknown,Vietnam,15.38,109.12,157
Macauley,-4360,New Zealand,-30.21,-178.475,238
Madeira,-4500,Portugal,32.73,-16.97,1862
Mahagnao,Unknown,Philippines,10.882,124.888,860
Mahawu,1977,Indonesia,1.352,124.865,1299
Maipo,1912,Chile-Argentina,-34.164,-69.832,5323
Makushin,1995,United States,53.891,-166.923,1800
Maly Semyachik,1952,Russia,54.135,159.674,1527
Mammoth Mountain,1260,United States,37.631,-119.032,3369
Managlase Plateau,Unknown,Papua New Guinea,-9.08,148.33,1342
Manam,2020,Papua New Guinea,-4.08,145.037,1807
Manda Hararo,2009,Ethiopia,12.17,40.82,600
Manda-Inakir,1928,Ethiopia-Djibouti,12.38,42.2,600
Mandalagan,Unknown,Philippines,10.65,123.25,1885
Manzaz Volcanic Field,Unknown,Algeria,23.92,5.83,1672
Marapi,2018,Indonesia,-0.38,100.474,2885
"Mariñaqui, Laguna",Unknown,Chile,-38.255,-71.167,2108
Marion Island,2004,South Africa,-46.9,37.75,1230
Mariveles,-2050,Philippines,14.527,120.482,1388
Markagunt Plateau,1050,United States,37.58,-112.67,2840
Maroa,180,New Zealand,-38.42,176.08,897
"Marra, Jebel",-2000,Sudan,12.95,24.27,3042
Marsabit,Unknown,Kenya,2.32,37.97,1707
Martin,1953,United States,58.172,-155.361,1863
Maruyama,1898,Japan,43.418,143.031,2013
Masaya,2020,Nicaragua,11.985,-86.165,594
Mascota Volcanic Field,Unknown,Mexico,20.62,-104.83,2560
Mashu,1080,Japan,43.572,144.561,857
Matthew Island,1956,France,-22.33,171.32,177
Matutum,1290,Philippines,6.37,125.07,2286
"Maule, Laguna del",-50,Chile,-36.058,-70.492,2162
Mauna Kea,-2460,United States,19.82,-155.47,4205
Mauna Loa,1984,United States,19.475,-155.608,4170
Mayor Island,-5060,New Zealand,-37.28,176.25,355
Meager,-410,Canada,50.63,-123.5,2680
Medicine Lake,1060,United States,41.611,-121.554,2412
Mega Basalt Field,Unknown,Ethiopia-Kenya,4.063,37.488,1111
Megata,-2050,Japan,39.95,139.73,291
Meidob Volcanic Field,-2950,Sudan,15.32,26.47,2000
Melbourne,1892,Antarctica,-74.35,164.7,2732
Merapi,2020,Indonesia,-7.54,110.446,2910
Merbabu,1797,Indonesia,-7.454,110.44,3118
Meru,1910,Tanzania,-3.25,36.75,4565
Methana,-258,Greece,37.615,23.336,760
Michinmahuida,1835,Chile,-42.799,-72.445,2452
Michoacan-Guanajuato,1952,Mexico,19.85,-101.75,3860
Midagahara,1839,Japan,36.571,137.59,2621
Mikurajima,-4100,Japan,33.874,139.602,851
Milbanke Sound Group,Unknown,Canada,52.5,-128.73,335
Milna,1914,Russia,46.815,151.786,1504
Milos,140,Greece,36.699,24.439,751
Minami-Hiyoshi,1975,Japan,23.5,141.935,-107
Miravalles,1946,Costa Rica,10.748,-85.153,2028
Miyakejima,2010,Japan,34.094,139.526,775
Mocho-Choshuenco,1937,Chile,-39.927,-72.027,2422
Moffett,-1600,United States,51.944,-176.747,1196
Mojanda,Unknown,Ecuador,0.13,-78.27,4263
Mombacho,Unknown,Nicaragua,11.826,-85.968,1344
Momotombo,2016,Nicaragua,12.423,-86.539,1270
Mono Lake Volcanic Field,1790,United States,38,-119.03,2121
Mono-Inyo Craters,1380,United States,37.804,-119.029,2796
Montagu Island,2007,United Kingdom,-58.445,-26.374,1370
Morning,Unknown,Antarctica,-78.5,163.53,2723
Motlav,Unknown,Vanuatu,-13.67,167.67,411
Moyorodake [Medvezhia],1999,Japan - administered by Russia,45.389,148.838,1124
Moyuta,Unknown,Guatemala,14.03,-90.1,1662
Muhavura,Unknown,Uganda-Rwanda,-1.383,29.678,4103
Mundua,Unknown,Papua New Guinea,-4.624,149.339,171
Muria,-160,Indonesia,-6.62,110.88,1625
Mutnovsky,2000,Russia,52.449,158.196,2288
Myojinsho,1970,Japan,31.888,139.918,11
Myokosan,-750,Japan,36.891,138.114,2454
Nabukelevu,1660,Fiji,-19.12,177.98,805
Nakanoshima,1914,Japan,29.859,129.857,979
Namarunu,-6550,Kenya,1.98,36.43,817
Nantaisan,-9540,Japan,36.765,139.491,2486
Naolinco Volcanic Field,-1200,Mexico,19.67,-96.75,2000
Naruko,837,Japan,38.729,140.734,470
Nasudake,1963,Japan,37.125,139.963,1915
Natib,Unknown,Philippines,14.72,120.4,1253
"Negra, Sierra",2018,Ecuador,-0.83,-91.17,1124
"Negro, Cerro",1999,Nicaragua,12.506,-86.702,728
Nejapa-Miraflores,1060,Nicaragua,12.12,-86.32,360
Nemrut Dagi,1650,Turkey,38.654,42.229,2948
Nevis Peak,Unknown,Saint Kitts and Nevis,17.15,-62.58,985
Newberry,690,United States,43.722,-121.229,2434
Newer Volcanics Province,-2900,Australia,-37.77,142.5,1011
Ngozi,1450,Tanzania,-8.989,33.554,2614
Niigata-Yakeyama,1998,Japan,36.921,138.036,2400
Niijima,886,Japan,34.397,139.27,432
Nikko-Shiranesan,1952,Japan,36.799,139.376,2578
Niseko,-4900,Japan,42.875,140.659,1308
Nishihitokappuyama [Bogatyr Ridge],Unknown,Japan - administered by Russia,44.833,147.342,1634
Nisyros,1888,Greece,36.586,27.16,698
Niuafo'ou,1985,Tonga,-15.6,-175.63,260
Norikuradake,-50,Japan,36.106,137.554,3026
North Vate,Unknown,Vanuatu,-17.47,168.353,594
Northern EPR at 9.8°N,2006,Undersea Features,9.83,-104.3,-2500
Numazawa,-3400,Japan,37.444,139.566,835
NW Eifuku,Unknown,United States,21.485,144.043,-1535
NW Rota-1,2010,United States,14.601,144.775,-517
Nyambeni Hills,Unknown,Kenya,0.23,37.87,750
Nyamuragira,2020,DR Congo,-1.408,29.2,3058
Nyiragongo,2020,DR Congo,-1.52,29.25,3470
Nylgimelkin,-3550,Russia,57.97,160.65,1764
O'a Caldera,Unknown,Ethiopia,7.47,38.58,2075
Ofu-Olosega,1866,United States,-14.175,-169.618,639
"Ojos del Salado, Nevados",750,Chile-Argentina,-27.109,-68.541,6879
Okataina,1981,New Zealand,-38.12,176.5,1111
Oki-Dogo,Unknown,Japan,36.176,133.334,151
Okmok,2008,United States,53.43,-168.13,1073
Oku Volcanic Field,Unknown,Cameroon,6.25,10.5,3011
Ol Kokwe,Unknown,Kenya,0.62,36.075,1130
Olca-Paruma,Unknown,Chile-Bolivia,-20.939,-68.413,5705
Olkaria,1770,Kenya,-0.904,36.292,2434
Olkoviy Volcanic Group,Unknown,Russia,52.02,157.53,681
Olot Volcanic Field,Unknown,Spain,42.17,2.53,893
Omanago Group,-3050,Japan,36.795,139.507,2341
Ontakesan,2014,Japan,35.893,137.48,3067
Opala,1776,Russia,52.543,157.339,2439
Oraefajokull,1728,Iceland,64.05,-16.633,2010
"Orizaba, Pico de",1846,Mexico,19.03,-97.27,5564
Orosi,Unknown,Costa Rica,10.98,-85.473,1659
Oshima-Oshima,1790,Japan,41.51,139.367,732
Osorezan,1787,Japan,41.279,141.12,878
Osorno,1869,Chile,-41.105,-72.496,2659
Ostanets,Unknown,Russia,52.146,157.322,719
Otdelniy,Unknown,Russia,52.221,157.435,814
Pacaya,2020,Guatemala,14.382,-90.601,2569
Pagan,2012,United States,18.13,145.8,570
Paka,-7550,Kenya,0.92,36.18,1697
Pali-Aike Volcanic Field,-5550,Chile-Argentina,-52.082,-69.698,282
Palomo,Unknown,Chile,-34.608,-70.295,4860
Paluweh,2013,Indonesia,-8.32,121.708,875
Pampa Luxsar,Unknown,Bolivia,-20.85,-68.2,5543
Panarea,Unknown,Italy,38.638,15.064,399
Pantelleria,1891,Italy,36.77,12.02,836
Papandayan,2002,Indonesia,-7.32,107.73,2665
Papayo,Unknown,Mexico,19.308,-98.7,3600
Parinacota,290,Chile-Bolivia,-18.166,-69.142,6336
Patuha,Unknown,Indonesia,-7.162,107.4,2422
Pavlof,2016,United States,55.417,-161.894,2493
Payun Matru,-5050,Argentina,-36.422,-69.241,3715
Pelee,1932,France,14.809,-61.165,1394
Penanggungan,Unknown,Indonesia,-7.616,112.62,1631
